PassengerId,Survived,Sex,Age
1,0,male,22.0
2,1,female,38.0
3,1,female,26.0
4,1,female,35.0
5,0,male,35.0
6,0,male,29.69911764705882
7,0,male,54.0
8,0,male,2.0
9,1,female,27.0
10,1,female,14.0
11,1,female,4.0
12,1,female,58.0
13,0,male,20.0
14,0,male,39.0
15,0,female,14.0
16,1,female,55.0
17,0,male,2.0
18,1,male,29.69911764705882
19,0,female,31.0
20,1,female,29.69911764705882
21,0,male,35.0
22,1,male,34.0
23,1,female,15.0
24,1,male,28.0
25,0,female,8.0
26,1,female,38.0
27,0,male,29.69911764705882
28,0,male,19.0
29,1,female,29.69911764705882
30,0,male,29.69911764705882
31,0,male,40.0
32,1,female,29.69911764705882
33,1,female,29.69911764705882
34,0,male,66.0
35,0,male,28.0
36,0,male,42.0
37,1,male,29.69911764705882
38,0,male,21.0
39,0,female,18.0
40,1,female,14.0
41,0,female,40.0
42,0,female,27.0
43,0,male,29.69911764705882
44,1,female,3.0
45,1,female,19.0
46,0,male,29.69911764705882
47,0,male,29.69911764705882
48,1,female,29.69911764705882
49,0,male,29.69911764705882
50,0,female,18.0
51,0,male,7.0
52,0,male,21.0
53,1,female,49.0
54,1,female,29.0
55,0,male,65.0
56,1,male,29.69911764705882
57,1,female,21.0
58,0,male,28.5
59,1,female,5.0
60,0,male,11.0
61,0,male,22.0
62,1,female,38.0
63,0,male,45.0
64,0,male,4.0
65,0,male,29.69911764705882
66,1,male,29.69911764705882
67,1,female,29.0
68,0,male,19.0
69,1,female,17.0
70,0,male,26.0
71,0,male,32.0
72,0,female,16.0
73,0,male,21.0
74,0,male,26.0
75,1,male,32.0
76,0,male,25.0
77,0,male,29.69911764705882
78,0,male,29.69911764705882
79,1,male,0.83
80,1,female,30.0
81,0,male,22.0
82,1,male,29.0
83,1,female,29.69911764705882
84,0,male,28.0
85,1,female,17.0
86,1,female,33.0
87,0,male,16.0
88,0,male,29.69911764705882
89,1,female,23.0
90,0,male,24.0
91,0,male,29.0
92,0,male,20.0
93,0,male,46.0
94,0,male,26.0
95,0,male,59.0
96,0,male,29.69911764705882
97,0,male,71.0
98,1,male,23.0
99,1,female,34.0
100,0,male,34.0
101,0,female,28.0
102,0,male,29.69911764705882
103,0,male,21.0
104,0,male,33.0
105,0,male,37.0
106,0,male,28.0
107,1,female,21.0
108,1,male,29.69911764705882
109,0,male,38.0
110,1,female,29.69911764705882
111,0,male,47.0
112,0,female,14.5
113,0,male,22.0
114,0,female,20.0
115,0,female,17.0
116,0,male,21.0
117,0,male,70.5
118,0,male,29.0
119,0,male,24.0
120,0,female,2.0
121,0,male,21.0
122,0,male,29.69911764705882
123,0,male,32.5
124,1,female,32.5
125,0,male,54.0
126,1,male,12.0
127,0,male,29.69911764705882
128,1,male,24.0
129,1,female,29.69911764705882
130,0,male,45.0
131,0,male,33.0
132,0,male,20.0
133,0,female,47.0
134,1,female,29.0
135,0,male,25.0
136,0,male,23.0
137,1,female,19.0
138,0,male,37.0
139,0,male,16.0
